NIVEL;IATA;IAV;IBT;ICUL;ICV;IDEP;ISAL;ISE;ISER;ZONAS_IBT;IVI;ISV;IEJ;IRH;IEM;IPJ;ISPE;ISPR;ISC;ISI;ISVN;ISVI;DIM_ACC;DIM_AMB;DIM_SOC;IGPE;IGPR;ILPE;ILPR;DIM_SEG;BRECHAS;Z_I;Z_J;P;Z
1;#FFFF00;#A7A394;#c3d4db;#A7A394;#C9C6A9;#A7A394;#A7A394;#A80000;#A7A394;NA;#A7A394;#A7A394;#B26E35;#A7A394;#A7A394;#A7A394;#A7A394;#A7A394;#A7A394;#A7A394;#A7A394;#A7A394;#E8F6F3;#FEF5E7;#D9CCE2;#EADCE8;#EADCE8;#EADCE8;#EADCE8;#EADCE8;#79334F;#c3d4db;#c3d4db;#c3d4db;#c3d4db
2;#F5CC00;#CFCAB6;#a7bfc9;#DECFB4;#9EAC8E;#BACBCC;#D9BDAF;#E64C00;#C7BFCD;NA;#C6C6C6;#C6C6C6;#DDA795;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#C6C6C6;#D0ECE7;#FDEBD0;#C1B1D1;#D6A8CE;#D6A8CE;#D6A8CE;#D6A8CE;#DFBAD9;#E499B9;#a7bfc9;#a7bfc9;#a7bfc9;#a7bfc9
3;#E69900;#9AB586;#8dabba;#FABC6B;#76A882;#7FBCC7;#E38264;#F5A37A;#AE91BF;NA;#A0708D;#D891B8;#C6C6C6;#D07664;#CC6276;#B27487;#7F9FA0;#7786A0;#A7CCBE;#90BFB8;#A0A9D6;#7272A5;#A2D9CE;#FAD7A0;#B2A1CE;#A760A3;#A760A3;#A760A3;#A760A3;#D6A8CE;#C6C6C6;#8dabba;#8dabba;#8dabba;#8dabba
4;#F56200;#5C8944;#7697ab;#E69545;#4A8744;#5995AB;#D44D35;#9CBAD6;#8A6A9C;NA;#9C5A80;#CE6AA1;#A8CFDB;#CE6352;#D44859;#AF5871;#6A9193;#5C6A88;#7FC09D;#6EBBB3;#899BCE;#656599;#73C6B6;#F8C471;#A78BC0;#974794;#974794;#974794;#974794;#C185B9;#91C7CF;#7697ab;#7697ab;#7697ab;#7697ab
5;#FF0000;#3E5C2E;#5f8299;#B35F0B;#226633;#446B87;#C40A0A;#6699CC;#623973;NA;#A63C6E;#C75281;#47A4B8;#D44623;#CF3043;#B33854;#4C888E;#4B5B82;#62BA8B;#3FAD9F;#6D78AD;#594F9A;#45B39D;#F5B041;#9473B1;#821F82;#821F82;#821F82;#821F82;#A760A3;#33929E;#5f8299;#5f8299;#5f8299;#5f8299
6;NA;NA;#4c6f8a;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#16A085;#F39C13;#835EA4;NA;NA;NA;NA;#9A4C98;NA;#4c6f8a;#4c6f8a;#4c6f8a;#4c6f8a
7;NA;NA;#3b5d7a;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#138D75;#D68910;#74539A;NA;NA;NA;NA;#974794;NA;#3b5d7a;#3b5d7a;#3b5d7a;#3b5d7a
8;NA;NA;#2b4a69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#117A65;#B9770E;#61448C;NA;NA;NA;NA;#90398D;NA;#2b4a69;#2b4a69;#2b4a69;#2b4a69
9;NA;NA;#1e3a59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#0E6655;#9C640C;#4C3275;NA;NA;NA;NA;#821F82;NA;#1e3a59;#1e3a59;#1e3a59;#1e3a59
10;NA;NA;#142b4a;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#0B5345;#7E5109;#3A224D;NA;NA;NA;NA;#652368;NA;#142b4a;#142b4a;#142b4a;#142b4a
Zona IBT Alto;NA;NA;NA;NA;NA;NA;NA;NA;NA;#142B4A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Zona IBT Medio;NA;NA;NA;NA;NA;NA;NA;NA;NA;#7697AB;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Zona IBT Bajo;NA;NA;NA;NA;NA;NA;NA;NA;NA;#91EBDC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
